ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S0044-59672022000200114-scl","Pirarucu larviculture in green water provides heavier fish and modulates locomotor activity","DANTAS, Francisco de Matos, SANTANA, Thiago Macedo, KOJIMA, Juliana Tomomi, FONSECA, Flávio Augusto Leão da, LOPES, Ana Caroliny Cerdeira, CARVALHO, Thaís Billalba, GONÇALVES, Ligia Uribe","Acta Amazonica; 52(2); 114-121","Acta Amazonica","Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672022000200114&lang=pt" 
"S0718-560X2022000100022-chl","Effect of pond fertilization on growth performance of pirarucu (Arapaima gigas) during grow-out phase","Pereira-Rezende, Fabricio, Ferreira-Lima, Adriana","Latin american journal of aquatic research; 50(1); 22-30","Latin american journal of aquatic research","Inglês","2022","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2022000100022&lang=pt" 
"S1414-753X2022000100328-scl","Monkey, fish, bird and tourists: local actors and global contexts related to conservation in the Amazon","Coelho, Eduardo de Ávila, Gontijo, Bernardo Machado","Ambiente &amp; Sociedade; 25(); -","Ambiente &amp; Sociedade","Português, Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2022000100328&lang=pt" 
"S0044-59672021000300207-scl","Effect of enzymatic complex in the diet of pirarucu, Arapaima gigas juveniles","LIMA, Julliana de Castro, SCHORER, Marianne, MELO, José Fernando Bibiano, BRAGA, Luís Gustavo Tavares","Acta Amazonica; 51(3); 207-213","Acta Amazonica","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672021000300207&lang=pt" 
"S2071-50722021000200008-per","El bufeo colorado en dos novelas amazónicas peruanas","Pau, Stefano","Letras (Lima); 92(136); 90-101","Letras (Lima)","Espanhol","2021","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2071-50722021000200008&lang=pt" 
"S0718-560X2021000200193-chl","Effect of stocking density of juvenile Arapaima gigas on rearing water quality hematological and biochemical profile, and productive performance","Paredes-López, Daniel, Robles-Huaynate, Rizal, Rebaza-Alfaro, Carmela, Delgado-Ramírez, José, Aldava-Pardave, Uriel","Latin american journal of aquatic research; 49(2); 193-201","Latin american journal of aquatic research","Inglês","2021","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2021000200193&lang=pt" 
"S0366-69132021000100023-scl","Synthesis and characterization of niobium-doped fish scale-derived hydroxyapatite by physical ultrasound interference","Amorim, M. O. de, Júnior, J. C. C. S., Ruiz, Y. L., Andrade, J. C. S.","Cerâmica; 67(381); 23-27","Cerâmica","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132021000100023&lang=pt" 
"S0001-37652021000801003-scl","Can a biopesticide based on Bacillus thuringiensis affect the physiology and histomorphology of Arapaima gigas?","MARIANO, WAGNER S., OLIVEIRA-LIMA, JEFFESSON, SANTUCI, MARCELA A., LIMA, LIANA B.D., MORON, SANDRO E., TAVARES-DIAS, MARCOS","Anais da Academia Brasileira de Ciências; 93(); -","Anais da Academia Brasileira de Ciências","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652021000801003&lang=pt" 
"S0044-59672020000400289-scl","Effect of dietary taurine supplementation on the growth and blood physiological parameters of juvenile pirarucu","RODRIGUES, Ana Paula Oeda, SILVA, Marcello Cappio Nunes, BERETTA, Emiliano Salvatore, FONSECA, Flávio Augusto Leão da, PARISI, Giuliana, CONCEIÇÃO, Luís Eugênio Castanheira da, GONÇALVES, Ligia Uribe","Acta Amazonica; 50(4); 289-294","Acta Amazonica","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672020000400289&lang=pt" 
"S1609-91172020000400024-per","Caracterización histológica de folículos ováricos de Arapaima gigas (Cuvier, 1817) de 12, 18 y 24 meses de edad","Yong Rojas, Carlos, Llerena Zavala, Cielo, Mendoza Torres, Galy, Echevarría Cureé, Luisa","Revista de Investigaciones Veterinarias del Perú; 31(4); -","Revista de Investigaciones Veterinarias del Perú","Espanhol","2020","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172020000400024&lang=pt" 
"S0102-09352020000501789-scl","Glutamine use in feeding juvenile pirarucu, Arapaima gigas (Schinz, 1822)","Ramos, A.P.S., Luz, J.R., Melo, J.F.B., Braga, L.G.T.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 72(5); 1789-1796","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352020000501789&lang=pt" 
"S0044-59672020000300223-scl","Effect of density of fingerling and juvenile pirarucu during transportation on water quality and physiological parameters","LIMA, Adriana Ferreira, OLIVEIRA, Hyago Jovane Borges de, PEREIRA, André Silvério, SAKAMOTO, Silmara Sanae","Acta Amazonica; 50(3); 223-231","Acta Amazonica","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672020000300223&lang=pt" 
