Estado,Populacao
São Paulo,43663672
Minas Gerais,20593366
Rio de Janeiro,16369178
Espírito Santo,3839363
Bahia,15044127
Pernambuco,9208551
Ceará,8778575
Maranhão,6794298
Paraíba,3914418
Rio Grande do Norte,3373960
Alagoas,3300938
Piauí,3184165
Sergipe,2195662
Rio Grande do Sul,11164050
Paraná,10997462
Santa Catarina,6634250
Pará,7969655
Amazonas,3807923
Rondônia,1728214
Tocantins,1478163
Acre,776463
Amapá,734995
Roraima,488072
Goiás,6434052
Mato Grosso,3182114
Distrito Federal,2789761
Mato Grosso do Sul,2587267
