id|pmk|titulo|ano|issn
216|1|bibraga nasutai cymothoidae an ectoparasite of the giant amazonian fish iarapaima gigasi osteoglossidae fingerlings cultured in the amazon region in northern brazilb|2017|1807863X
217|2|bdigestibility and physicochemical characteristics of acid silage meal made of pirarucu waste in diets for commercial laying hens|2017|18062636
477|3|bmorphology and expression of genes related to skeletal muscle growth in juveniles of pirarucu iarapaima gigasi arapaimatidae teleosteib doi 104025actascianimsciv35i318219|2013|18078672
478|3|bmorphology and expression of genes related to skeletal muscle growth in juveniles of pirarucu iarapaima gigasi arapaimatidae teleosteib doi 104025actascianimsciv35i318219|2013|18078672
374|4|p classtitlespan langenusfirst record of arapaima gigasem schinz 1822 teleostei osteoglossomorpha the pirarucu in the upper parana river basin southeast brazilspanp|2015|1809127X
707|5|16p5 net ion fluxes in the fishes hoplosternum littorale and arapaima gigas exposed to different amazonian waters|2007|10956433
708|6|a comunidade e o mercado os desafios na comercializacao de pirarucu manejado das reservas mamiraua e amana amazonas brasil|2007|19814518
72|7|a conectividade do ordenamento juridico brasileiro consideracoes aplicadas a educacao ambiental e manejo do pirarucu|2019|16780701
73|8|a conectividade do ordenamento juridico brasileiro consideracoes aplicadas a educacao ambiental e manejo do pirarucu arapaima gigas|2019|16780701
597|9|a fauna de protozoa acanthocephala nematoda e crustacea parasitas do arapaima gigas schinz 1822 osteichthyes arapaimatidae criados em cativeiro na amazonia central|2010|19825498
598|10|a fauna de protozoa acanthocephala nematoda e crustacea parasitas do arapaima gigas schinz 1822 osteichthyes arapa imatidae criados em cativeiro na amazonia central|2010|19825498
785|11|a influencia do periodo da alimentacao no consumo e ganho de peso do pirarucu|2005|0100204X
813|12|a method to count pirarucu fishers assessment and management|2004|""
891|13|a mistica do pirarucu pesca ethos e paisagem em comunidades rurais do baixo amazonas|2001|01047183
218|14|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|2017|00013765
219|14|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|2017|00013765
220|14|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|2017|00013765
221|14|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|2017|00013765
222|15|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|2017|16782690
153|16|a new specie of branchiura crustacea argulidae parasite of arapaima gigas schinz 1822 from brazilian amazon|2018|19951043
154|16|a new specie of branchiura crustacea argulidae parasite of arapaima gigas schinz 1822 from brazilian amazon|2018|19951043
512|17|a pesca do pirarucu arapaima sp na bacia do rio araguaia em mato grosso brasil|2012|16782305
513|17|a pesca do pirarucu arapaima sp na bacia do rio araguaia em mato grosso brasil|2012|16782305
514|17|a pesca do pirarucu arapaima sp na bacia do rio araguaia em mato grosso brasil|2012|16782305
515|18|a pesca do pirarucu arapaima sp na bacia do rio araguaia em mato grosso brasil|2012|16782305
574|19|a pesca do pirarucu o integralismo e o seu lugar na memoria social construida durante o estado novo|2011|15187640
575|20|a producao de pirarucu no brasil uma visao geral|2011|15191141
1|21|a systematic review of the production chain of the arapaima gigas the giant fish of the amazon|2020|14777835
2|21|a systematic review of the production chain of the arapaima gigas the giant fish of the amazon|2020|14777835
912|22|adaptacao aclimatacao e desenvolvimento do pirarucu arapaima gigas em criacao intensiva|1995|01043463
892|23|adaptacao aclimatacao e desenvolvimento do pirarucu arapaima gigas nas regioes de sao miguel do araguaia e triangulo mineiro|2001|""
913|24|adaptacao aclimatacao e desenvolvimento do pirarucu arapaima gigas em criacao intensiva|1995|01043463
423|25|aislamiento de bacterias y hongos en tejidos de paiche arapaima gigas criados en cautiverio|2014|16099117
155|26|almondegas de pirarucu e tilapia nilotica caracterizacao e aplicacao na merenda escolar|2018|23578068
156|26|almondegas de pirarucu e tilapia nilotica caracterizacao e aplicacao na merenda escolar|2018|23578068
157|26|almondegas de pirarucu e tilapia nilotica caracterizacao e aplicacao na merenda escolar|2018|23578068
516|27|alteracoes teciduais em intestino de pirarucu arapaima gigasschinz 1822 infectado pelo nematoda spirocamallanus inopinatus travassos 1929|2012|19951043
517|28|alteracoes teciduais em intestino de pirarucu arapaima gigas schinz 1822 infectado pelo nematoda spirocamallanus inopinatus travassos 1929|2012|22186425
518|29|alteracoes teciduais em intestino de pirarucu arapaima gigas schinz 1822 infectado pelo nematoda spirocamallanus inopinatus travassos 1929|2012|19951043
519|30|alteracoes teciduais em intestino de pirarucu arapaima gigas schinz 1822 infectado pelo nematoda spirocamallanus inopinatus travassos 1929|2012|19951043
520|31|alteracoes teciduais em intestino de pirarucu arapaima gigas schinz 1822 infectado pelo nematoda spirocamallanus inopinatus travassos 1929|2012|19951043
424|32|amazonian white and black waters influences on the hematological and biochemical plasma features of arapaima gigas osteoglossiforme|2014|19347391
425|32|amazonian white and black waters influences on the hematological and biochemical plasma features of arapaima gigas osteoglossiforme|2014|19347405
