id|pmk|ano_do_artigo|titulo_do_artigo|issn
1|1|2017|<b><i>braga nasuta</i> (cymothoidae): an ectoparasite of the giant amazonian fish <i>arapaima gigas</i> (osteoglossidae) fingerlings cultured in the amazon region in northern brazil</b>|1807863X
2|2|2017|<b>digestibility and physico-chemical characteristics of acid silage meal made of pirarucu waste in diets for commercial laying hens|18062636
3|3|2013|<b>morphology and expression of genes related to skeletal muscle growth in juveniles of pirarucu (<i>arapaima gigas</i>, arapaimatidae, teleostei)</b> - doi: 10.4025/actascianimsci.v35i3.18219|18078672
4|3|2013|<b>morphology and expression of genes related to skeletal muscle growth in juveniles of pirarucu (<i>arapaima gigas</i>, arapaimatidae, teleostei)</b> - doi: 10.4025/actascianimsci.v35i3.18219|18078672
5|4|2015|<p class=''title''><span lang=''en-us''>first record of arapaima gigas</em> (schinz, 1822) (teleostei: osteoglossomorpha), the -pirarucu-, in the upper parana river basin, southeast brazil</span></p>|1809127X
6|5|2007|16.p5. net ion fluxes in the fishes hoplosternum littorale and arapaima gigas exposed to different amazonian waters|10956433
7|6|2007|a comunidade e o mercado: os desafios na comercializacao de pirarucu manejado das reservas mamiraua e amana, amazonas - brasil|19814518
8|7|2019|a conectividade do ordenamento juridico brasileiro : consideracoes aplicadas a educacao ambiental e manejo do pirarucu|16780701
9|8|2019|a conectividade do ordenamento juridico brasileiro : consideracoes aplicadas a educacao ambiental e manejo do pirarucu|16780701
10|10|2010|a fauna de protozoa, acanthocephala, nematoda e crustacea parasitas do arapaima gigas (schinz , 1822) (osteichthyes: arapaimatidae) criados em cativeiro na amazonia central.|19825498
11|9|2010|a fauna de protozoa, acanthocephala, nematoda e crustacea parasitas do arapaima gigas (schinz , 1822) (osteichthyes: arapaimatidae) criados em cativeiro na amazonia central.|19825498
12|11|2005|a influencia do periodo da alimentacao no consumo e ganho de peso do pirarucu|0100204X
13|12|2004|a method to count pirarucu: fishers, assessment, and management|
14|13|2001|a mistica do pirarucu: pesca, ethos e paisagem em comunidades rurais do baixo amazonas|1047183
15|14|2017|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|13765
16|14|2017|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|13765
17|14|2017|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|13765
18|14|2017|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|13765
19|15|2017|a new approach to feed frequency studies and protein intake regulation in juvenile pirarucu|16782690
20|16|2018|a new specie of branchiura (crustacea: argulidae) parasite of arapaima gigas schinz, 1822 from brazilian amazon|19951043
21|16|2018|a new specie of branchiura (crustacea: argulidae) parasite of arapaima gigas schinz, 1822 from brazilian amazon|19951043
22|17|2012|a pesca do pirarucu (arapaima sp.) na bacia do rio araguaia em mato grosso - brasil|16782305
23|17|2012|a pesca do pirarucu (arapaima sp.) na bacia do rio araguaia em mato grosso - brasil|16782305
24|17|2012|a pesca do pirarucu (arapaima sp.) na bacia do rio araguaia em mato grosso - brasil|16782305
25|18|2012|a pesca do pirarucu (arapaima sp.) na bacia do rio araguaia em mato grosso - brasil|16782305
26|19|2011|a pesca do pirarucu: o integralismo e o seu lugar na memoria social construida durante o estado novo|15187640
27|20|2011|a producao de pirarucu no brasil: uma visao geral|15191141
28|21|2020|a systematic review of the production chain of the arapaima gigas, the giant fish of the amazon|14777835
29|21|2020|a systematic review of the production chain of the arapaima gigas, the giant fish of the amazon|14777835
30|22|1995|adaptacao, aclimatacao e desenvolvimento do pirarucu ( arapaima gigas) em criacao intensiva|1043463
31|23|2001|adaptacao, aclimatacao e desenvolvimento do pirarucu ( arapaima gigas) nas regioes de sao miguel do araguaia e triangulo mineiro|
32|24|1995|adaptacao, aclimatacao e desenvolvimento do pirarucu (arapaima gigas) em criacao intensiva|1043463
33|25|2014|aislamiento de bacterias y hongos en tejidos de paiche (arapaima gigas) criados en cautiverio.|16099117
34|26|2018|almondegas de pirarucu e tilapia nilotica: caracterizacao e aplicacao na merenda escolar|23578068
