Title;Issn;SJR
CA - A Cancer Journal for Clinicians;15424863, 00079235;88192
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;10575987, 15458601;41022
Nature Reviews Materials;20588437;36691
Quarterly Journal of Economics;00335533, 15314650;36220
Nature Reviews Molecular Cell Biology;14710072, 14710080;29997
National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System;15518922, 15518930;29810
Nature Reviews Genetics;14710056, 14710064;28619
Cell;00928674, 10974172;24698
Reviews of Modern Physics;00346861, 15390756;21938
Nature Reviews Cancer;1474175X, 14741768;21287
Journal of Political Economy;00223808, 1537534X;21239
Chemical Reviews;15206890, 00092665;20847
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;15458636, 15460738;20617
Nature Reviews Immunology;14741741, 14741733;20611
Nature Methods;15487091, 15487105;20148
Nature Genetics;10614036, 15461718;19795
Nature Energy;20587546;19635
Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics];8864691;19393
New England Journal of Medicine;00284793, 15334406;18291
Annual Review of Biochemistry;15454509, 00664154;17387
Journal of Finance;00221082, 15406261;17134
Nature Medicine;1546170X, 10788956;15812
The Lancet Oncology;14702045, 14745488;15650
Nature Reviews Chemistry;23973358;15610
Nature Nanotechnology;17483387, 17483395;15555
Nature Materials;14764660, 14761122;14862
Nature Reviews Neuroscience;14710048, 1471003X;14780
Econometrica;00129682, 14680262;14563
The Lancet;01406736, 1474547X;14554
Chemical Society Reviews;03060012, 14604744;14490
Advances in Physics;14606976, 00018732;14432
Review of Economic Studies;00346527, 1467937X;14235
Nature;14764687, 00280836;14047
Annual Review of Immunology;15453278, 07320582;13842
NBER Macroeconomics Annual;15372642, 08893365;13793
American Economic Review;28282;13773
Nature Neuroscience;10976256, 15461726;13723
Proceedings of the IEEE International Conference on Computer Vision;15505499;13637
Nature Photonics;17494885;13614
Proceedings of the IEEE Computer Society Conference on Computer  Vision and Pattern Recognition;10636919;13396
Nature Reviews Microbiology;17401534, 17401526;13160
Science;10959203, 00368075;13110
Energy and Environmental Sciences;17545692, 17545706;13024
Annual Review of Astronomy and Astrophysics;15454282, 00664146;12954
Review of Financial Studies;14657368, 08939454;12837
Academy of Management Annals;19416520, 19416067;12595
Nature Biotechnology;15461696, 10870156;12565
Nature Reviews Disease Primers;2056676X;12268
Journal of Financial Economics;0304405X;11999
Immunity;10974180, 10747613;11977
Cancer Cell;15356108, 18783686;11909
Annual Review of Cell and Developmental Biology;15308995, 10810706;11782
Journal of Labor Economics;0734306X, 15375307;11572
Administrative Science Quarterly;00018392, 19303815;11493
The Lancet Neurology;14744465, 14744422;11258
Academy of Management Journal;14273;11190
Nature Catalysis;25201158;11104
Molecular Cell;10974164, 10972765;11075
Annual Review of Plant Biology;15452123, 15435008;10836
Cell Metabolism;15504131;10810
Living Reviews in Relativity;14338351, 23673613;10803
American Economic Journal: Applied Economics;19457790, 19457782;10788
Advanced Materials;09359648, 15214095;10571
Annual Review of Physiology;00664278, 15451585;10545
Annual Review of Neuroscience;0147006X, 15454126;10311
Annual Review of Psychology;00664308, 15452085;10232
Physiological Reviews;15221210, 00319333;10153
Journal of Clinical Oncology;15277755, 0732183X;10054
Journal of the American College of Cardiology;15583597, 07351097;9989
Nature Chemistry;17554330, 17554349;9927
Nature Cell Biology;14764679, 14657392;9916
Nature Reviews Clinical Oncology;17594782, 17594774;9882
Journal of Economic Literature;220515;9677
Neuron;10974199, 08966273;9527
Advanced Energy Materials;16146832, 16146840;9513
Trends in Cell Biology;09628924, 18793088;9496
Genome Biology;14747596;9479
Journal of Statistical Software;15487660;9444
Reviews of Geophysics;87551209;9345
Cell Stem Cell;19345909;9340
Joule;25424351;9340
The Lancet Diabetes and Endocrinology;22138595, 22138587;9337
Nature Immunology;15292908, 15292916;9283
Genome Research;15495469, 10889051;9245
World Psychiatry;17238617;9239
Psychological Bulletin;00332909, 19391455;9231
Nature Physics;17452473;9128
The Lancet Infectious Diseases;14744457, 14733099;9040
Annual Review of Genetics;15452948, 00664197;8931
Nucleic Acids Research;03051048, 13624962;8907
Publications Mathématiques;16181913, 00738301;8890
Nature Structural and Molecular Biology;15459993, 15459985;8792
Personnel Psychology;00315826, 17446570;8770
Journal of Economic Perspectives;8953309;8761
Nano Futures;23991984;8711
Accounts of Chemical Research;00014842, 15204898;8693
Clinical Microbiology Reviews;08938512, 10986618;8664
Journal of Marketing;15477185, 00222429;8626
Journal of the American Mathematical Society;10886834, 08940347;8581
Annual Review of Condensed Matter Physics;19475454, 19475462;8574
Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;8508
Progress in Energy and Combustion Science;3601285;8477
Strategic Management Journal;10970266, 01432095;8430
European Urology;03022838, 1421993X;8192
Molecular Biology and Evolution;15371719, 07374038;8162
Acta Neuropathologica;00016322, 14320533;8158
Progress in Materials Science;18732208, 00796425;8137
Physics Reports;3701573;8069
ACS Energy Letters;23808195;8057
The Lancet Global Health;2214109X;8055
Science immunology;24709468;8014
Annual Review of Organizational Psychology and Organizational Behavior;23270608;7999
Trends in Biochemical Sciences;13624326, 03765067, 09680004;7974
Nature Microbiology;20585276;7922
Genes and Development;15495477, 08909369;7920
Annual Review of Economics;19411383, 19411391;7907
Annual Review of Ecology, Evolution, and Systematics;1543592X;7875
Journal of the European Economic Association;15424774, 15424766;7832
Personality and Social Psychology Review;10888683, 15327957;7782
Annals of Mathematics;0003486X;7770
Gut;14683288, 00175749;7763
Journal of Experimental Medicine;00221007, 15409538;7757
Nature Climate Change;17586798, 1758678X;7735
American Economic Journal: Macroeconomics;19457707, 19457715;7711
Annual Review of Clinical Psychology;15485951, 15485943;7696
Nature Protocols;17542189;7649
Materials Today;13697021;7609
Journal of Consumer Research;00935301, 15375277;7595
JAMA Oncology;23742445, 23742437;7593
Nature Electronics;25201131;7561
Cell Systems;24054712;7556
IEEE Communications Surveys and Tutorials;1553877X;7553
American Economic Journal: Economic Policy;19457731, 1945774X;7548
Review of Economics and Statistics;00346535, 15309142;7538
IEEE Transactions on Pattern Analysis and Machine Intelligence;1628828;7536
Lancet Respiratory Medicine,The;22132619, 22132600;7516
Cancer Discovery;21598274, 21598290;7513
Academy of Management Review;3637425;7482
Review of Educational Research;00346543, 19351046;7474
Physical Review X;21603308;7458
Annual Review of Biophysics;19361238, 1936122X;7456
Circulation;00097322, 15244539;7446
American Journal of Human Genetics;15376605, 00029297;7376
Microbiology and Molecular Biology Reviews;10985557, 10922172;7365
Molecular Systems Biology;17444292;7338
Journal of Marketing Research;00222437, 15477193;7325
Reports on Progress in Physics;13616633, 00344885;7199
Annual Review of Marine Science;19410611, 19411405;7193
Pharmacological Reviews;15210081, 00316997;7179
Brookings Papers on Economic Activity;00072303, 15334465;7172
Marketing Science;07322399, 1526548X;7172
Cell Host and Microbe;19313128;7168
American Journal of Political Science;00925853, 15405907;7131
EMBO Journal;02614189, 14602075;7086
Science Translational Medicine;19466234, 19466242;7030
Nature Reviews Drug Discovery;14741784, 14741776;7018
Nature Chemical Biology;15524469, 15524450;7004
Journal of Accounting Research;1475679X, 00218456;6996
Journal of Management;01492063, 15571211;6982
Journal of the American Chemical Society;15205126, 00027863;6976
The Lancet Psychiatry;22150374, 22150366;6967
Materials Science and Engineering: R: Reports;0927796X;6950
Fungal Diversity;15602745, 18789129;6949
Trends in Cognitive Sciences;1879307X, 13646613;6948
MMWR. Morbidity and mortality weekly report;01492195, 1545861X;6942
The Lancet Public Health;24682667;6886
Tax Policy and the Economy;15372650, 08928649;6861
Trends in Ecology and Evolution;01695347, 18728383;6860
Gastroenterology;15280012, 00165085;6850
JAMA Psychiatry;21686238, 2168622X;6847
Journal of Hepatology;16000641, 01688278;6817
Ecology Letters;1461023X, 14610248;6731
Psychological Science in the Public Interest, Supplement;15396053, 15291006;6728
Advances in Optics and Photonics;19438206;6689
NCHS data brief;19414927, 19414935;6675
Journal of Economic Growth;15737020, 13814338;6666
Trends in Genetics;01689525, 13624555;6556
Vital and health statistics. Series 3, Analytical studies;832065;6553
Annual Review of Microbiology;00664227, 15453251;6517
Diabetes Care;19355548, 01495992;6480
Psychological Methods;1082989X, 19391463;6424
Journal of Applied Psychology;19391854, 00219010;6423
Genome Medicine;1756994X;6411
The Lancet HIV;23523018;6395
Sentinel event alert / Joint Commission on Accreditation of Healthcare Organizations;-;6350
Systematic Biology;1076836X, 10635157;6299
Molecular Psychiatry;14765578, 13594184;6290
Journal of the Royal Statistical Society. Series B: Statistical Methodology;14679868, 13697412;6218
Progress in Polymer Science;796700;6210
Nano Today;17480132;6198
Chem;24519294;6144
Annals of the Rheumatic Diseases;00034967, 14682060;6142
Cell Research;17487838, 10010602;6141
JAMA Internal Medicine;21686114, 21686106;6138
ACS Nano;1936086X, 19360851;6131
Nature Reviews Gastroenterology and Hepatology;17595045, 17595053;6113
Analytic Methods in Accident Research;22136657;6091
eLife;2050084X;6079
American Journal of Psychiatry;0002953X, 15357228;6071
Immunological Reviews;01052896, 1600065X;6063
Science advances;23752548;6062
Biological Psychiatry;00063223, 18732402;6059
Cell Reports;22111247;6058
Alzheimer's and Dementia;15525279, 15525260;6012
American Sociological Review;00031224, 19398271;5992
JAMA Cardiology;23806583, 23806591;5976
Journal of Clinical Investigation;00219738, 15588238;5973
Living Reviews in Solar Physics;16144961, 23673648;5959
Cold Spring Harbor perspectives in biology;19430264;5926
Annual Review of Phytopathology;00664286, 15452107;5919
Trends in Immunology;14714906, 14714981;5917
JAMA - Journal of the American Medical Association;15383598, 00987484, 00029955;5913
Nature Biomedical Engineering;2157846X;5887
European Heart Journal;15229645, 0195668X;5883
American Journal of Respiratory and Critical Care Medicine;1073449X, 15354970;5882
Progress in Particle and Nuclear Physics;1466410;5882
Advanced Functional Materials;1616301X;5875
American Political Science Review;15375943, 00030554;5872
Annual Review of Entomology;00664170, 15454487;5869
Astronomy and Astrophysics Review;09354956, 14320754;5860
Inventiones Mathematicae;00209910, 14321297;5848
Progress in Retinal and Eye Research;13509462, 18731635;5834
Journal of Accounting and Economics;1654101;5821
Proceedings - 2016 4th International Conference on 3D Vision, 3DV 2016;-;5810
Nano Letters;15306992, 15306984;5786
Acta Mathematica;15962;5766
Manufacturing and Service Operations Management;15265498, 15234614;5732
Small Methods;23669608;5723
Nature Geoscience;17520908, 17520894;5685
Theoretical Economics;15557561;5672
Annual Review of Public Health;01637525, 15452093;5656
Journal of Cell Biology;15408140, 00219525;5646
Nature Reviews Endocrinology;17595037, 17595029;5634
Nano Energy;22112855;5633
PLoS Medicine;15491277, 15491676;5616
Nature Ecology and Evolution;2397334X;5603
Optica;23342536;5600
Nature Communications;20411723;5569
Organization Science;15265455, 10477039;5557
European Journal of Heart Failure;13889842, 18790844;5556
Journal of Cellular Immunotherapy;23521775;5517
Nature Plants;2055026X;5517
FEMS Microbiology Reviews;01686445, 15746976;5485
Journal of Monetary Economics;3043932;5474
Economic Journal;14680297, 00130133;5453
International Materials Reviews;09506608, 17432804;5448
Accounting Review;14826;5446
Annual Review of Fluid Mechanics;15454479, 00664189;5440
Management Science;00251909, 15265501;5439
Angewandte Chemie - International Edition;14337851, 15213773;5438
Annual Review of Materials Research;15317331, 15454118;5435
Blood;15280020, 00064971;5416
Brain;14602156, 00068950;5408
Plant Cell;1532298X, 10404651;5399
Hepatology;02709139, 15273350;5377
Journal of the National Cancer Institute;14602105, 00278874;5356
Journal of the Academy of Marketing Science;00920703, 15527824;5309
Lancet Gastroenterology and Hepatology, The;24681253;5299
Microbiome;20492618;5282
Clinical Psychology Review;18737811, 02727358;5281
Journal of Extracellular Vesicles;20013078;5274
Perspectives on Psychological Science;17456916, 17456924;5272
Nature Reviews Neurology;17594766, 17594758;5247
Light: Science and Applications;20477538;5245
Clinical Cancer Research;10780432, 15573265;5241
Current Opinion in Cell Biology;09550674, 18790410;5231
Developmental Cell;15345807, 18781551;5220
Review of Corporate Finance Studies;20469136, 20469128;5181
Annual Review of Genomics and Human Genetics;15278204, 1545293X;5179
JACC: Heart Failure;22131787, 22131779;5173
Proceedings of the National Academy of Sciences of the United States of America;10916490, 00278424;5165
Annual Review of Pharmacology and Toxicology;15454304, 03621642;5153
Vital and health statistics. Series 2, Data evaluation and methods research;832057;5138
Advanced Science;21983844;5133
